2021-11-14 19:05:13.198  INFO 29708 --- [main] s.TimesheetDevopsProjectApplicationTests : Starting TimesheetDevopsProjectApplicationTests using Java 11.0.10 on Macbook.local with PID 29708 (started by macbook in /Users/macbook/Downloads/timesheet-devopsProject)
2021-11-14 19:05:13.206  INFO 29708 --- [main] s.TimesheetDevopsProjectApplicationTests : No active profile set, falling back to default profiles: default
2021-11-14 19:05:14.727  INFO 29708 --- [main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2021-11-14 19:05:14.816  INFO 29708 --- [main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.32.Final
2021-11-14 19:05:15.018  INFO 29708 --- [main] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2021-11-14 19:05:15.171  WARN 29708 --- [main] com.zaxxer.hikari.util.DriverDataSource  : Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
2021-11-14 19:05:15.464  INFO 29708 --- [main] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
2021-11-14 19:05:16.336  INFO 29708 --- [main] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2021-11-14 19:05:16.892  WARN 29708 --- [main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2021-11-14 19:05:17.433  INFO 29708 --- [main] s.TimesheetDevopsProjectApplicationTests : Started TimesheetDevopsProjectApplicationTests in 4.613 seconds (JVM running for 5.852)
2021-11-14 19:05:17.637  INFO 29708 --- [main] t.e.spring.services.UserServiceImplTest  : Starting UserServiceImplTest using Java 11.0.10 on Macbook.local with PID 29708 (started by macbook in /Users/macbook/Downloads/timesheet-devopsProject)
2021-11-14 19:05:17.639  INFO 29708 --- [main] t.e.spring.services.UserServiceImplTest  : No active profile set, falling back to default profiles: default
2021-11-14 19:05:17.915  INFO 29708 --- [main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2021-11-14 19:05:17.922  WARN 29708 --- [main] com.zaxxer.hikari.util.DriverDataSource  : Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
2021-11-14 19:05:17.926  INFO 29708 --- [main] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
